web_scraper_order,web_scraper_start_url,pagination,data,title,data2
"1789836284-1","https://www.expressio.fr/toutes-les-expressions","","les doigts dans le nez","sans effort ; très facilement ; fingers in the nose ; haut la main ; sans difficultés ; sans souci","adv"
"1789836284-2","https://www.expressio.fr/toutes-les-expressions","","se regarder le nombril","être égocentrique et prétentieux ; ne s'intéresser qu'à soi ; être prétentieux ; s'admirer ; ne pas se soucier des autres","v"
"1789836284-3","https://www.expressio.fr/toutes-les-expressions","","ours mal léché","personne peu sociale ; individu grossier ; individu mal élevé ; individu rustre ; personne rustre ; personne grossière ; individu très mal poli ; individu aux manières grossières et d'aspect rébarbatif","n"
"1789836284-4","https://www.expressio.fr/toutes-les-expressions","","en faire tout un fromage","faire toute une histoire pour pas grand-chose ; grossir à l'extrême une difficulté ; s'agiter pour des choses de petite importance","exp"
"1789836284-5","https://www.expressio.fr/toutes-les-expressions","","mettre son grain de sel","s'immiscer dans une conversation ; s'immiscer dans une affaire ; s'immiscer de façon incongrue dans une discussion ; se mêler à un sujet qui ne le regarde pas ; s'immiscer dans une situation où l'on n'était pas spécialement désiré ; donner son avis sans que personne l'ait demandé","v"
"1789836284-6","https://www.expressio.fr/toutes-les-expressions","","frotter le lard ensemble","forniquer ; faire l'amour ; coucher ensemble","v"
"1789836284-7","https://www.expressio.fr/toutes-les-expressions","","yeux de merlan frit","regard énamouré et ridicule ; yeux levés au ciel de manière affectée ; yeux levés au ciel dont on ne voit que le blanc ; regard ridicule","n"
"1789836284-8","https://www.expressio.fr/toutes-les-expressions","","entre la poire et le fromage","entre deux évènements ; à un moment perdu ; à un moment de conversation libre et détendu ; entre deux situations ; à un instant perdu ; au moment qui favorise l'échange de propos ; sur la fin du repas ; de manière bâclée ; à la hâte","adv"
"1789836284-9","https://www.expressio.fr/toutes-les-expressions","","soupe au lait","qui change rapidement de caractère ; qui s'emporte brutalement ; qui s'énerve pour un rien ; colérique ; irascible","adj"
"1789836284-10","https://www.expressio.fr/toutes-les-expressions","","tomber dans les pommes","s'évanouir ; perdre connaissance ; tomber en pâmoison ; se pâmer ; tomber en faiblesse","v"
"1789836284-11","https://www.expressio.fr/toutes-les-expressions","","presser quelqu'un comme un citron","complètement exploiter quelqu'un","v"
"1789836284-12","https://www.expressio.fr/toutes-les-expressions","","tout de go","d'emblée ; directement ; d'un seul coup ; librement ; à la volée","adv"
"1789836284-13","https://www.expressio.fr/toutes-les-expressions","","peigner la girafe","faire un travail inutile et très long ; ne rien faire d'efficace ; paresser ; pisser dans un violon ; perdre son temps ; ne rien faire d'intéressant ; se dépenser sans efficacité, pour rien ; effectuer en vain une tâche très longue ; travailler inutilement ; ne rien faire de son temps","v"
"1789836284-14","https://www.expressio.fr/toutes-les-expressions","","travailler pour le roi de Prusse","travailler pour rien ; ne pas être payé pour ses peines ou sa participation active","v"
"1789836284-15","https://www.expressio.fr/toutes-les-expressions","","mouton de Panurge","copieur ; suiveur ; imitateur ; girouette ; personne dénuée de tout sens critique","n"
"1789836284-16","https://www.expressio.fr/toutes-les-expressions","","froid de canard","un très grand froid ; un froid très vif ; froid de chien ; froid de gueux ; froid de tous les diables","n"
"1789836284-17","https://www.expressio.fr/toutes-les-expressions","","avoir le coeur qui bat la chamade","avoir le coeur qui s'affole ; éprouver une forte attirance pour une personne ; avoir le coeur qui palpite fort ; éprouver une émotion perturbante","v"
"1789836284-18","https://www.expressio.fr/toutes-les-expressions","","ne pas casser trois pattes à un canard","ne rien avoir d'extraordinaire ; être banal ; n'avoir rien de remarquable ; ne pas casser des briques ; ne pas casser des meubles ; ne pas casser les vitres ; être très commun ; être à la limite de la médiocrité","v"
